TILEMAP
216 16 							-- Size of tile map in tiles
16 16						-- Tile size & block size
images/faltavaestrellita.png 	-- Tilesheet
12 10								-- Number of tiles in tilesheet
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
2,2,2,4,2,2,4,109,3,1,97,1,3,1,1,109,2,2,2,4,4,109,3,1,97,109,1,1,97,109,3,1,97,109,3,1,97,109,3,1,1,97,1,1,2,2,1,1,2,2,2,4,1,1,2,1,2,4,2,4,1,1,2,2,4,1,1,1,1,1,2,4,2,2,1,1,2,4,4,109,3,1,1,109,2,4,91,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,9,1,1,1,1,1,1,1,1,1,
97,3,97,2,97,3,97,5,6,7,8,5,6,7,8,2,97,3,97,2,97,5,6,7,8,5,6,7,8,5,6,7,8,5,6,7,8,5,6,7,8,2,1,1,97,3,1,1,97,3,97,2,1,1,97,3,97,2,97,2,1,1,97,97,2,1,1,1,1,1,97,2,97,3,1,1,97,2,97,5,6,7,8,2,97,2,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,113,114,33,1,1,1,1,1,1,1,1,
2,4,1,1,1,1,27,14,15,16,17,14,15,16,26,1,1,1,1,1,27,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,17,14,15,16,26,1,2,2,2,4,1,1,1,1,1,1,2,2,2,4,2,2,2,2,1,1,1,1,2,4,2,4,1,1,2,2,1,1,1,1,1,1,27,14,15,16,26,1,2,2,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,103,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,102,92,42,64,65,74,116,105,105,105,
97,2,1,1,1,1,25,19,20,21,25,19,20,21,1,1,1,1,1,1,25,19,20,21,25,19,20,21,25,19,20,21,25,19,20,21,25,19,20,21,1,1,97,3,97,2,1,1,1,1,1,1,97,3,97,2,97,3,97,3,1,1,1,1,97,2,97,2,1,1,97,3,1,1,1,1,1,1,25,19,20,21,1,1,97,3,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,48,36,95,24,95,24,95,24,95,24,95,24,48,36,48,36,48,36,48,36,48,36,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,48,36,48,36,95,24,115,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,94,93,66,67,73,85,117,117,117,
1,1,28,29,30,29,30,31,32,30,30,31,32,30,32,30,30,29,30,29,30,29,30,31,32,30,30,29,30,29,30,31,30,31,32,30,30,29,30,29,32,30,30,29,30,29,30,31,1,1,2,4,1,1,1,1,32,30,30,29,30,29,30,29,30,31,1,1,1,1,1,1,1,1,32,30,30,29,30,29,30,29,30,29,30,31,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,95,24,95,24,95,24,95,24,95,24,43,44,43,44,43,44,43,44,43,44,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,43,44,43,44,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,68,69,73,85,88,88,88,
1,1,37,38,39,38,98,40,41,98,98,40,41,98,41,98,39,38,39,38,39,38,98,40,41,98,39,38,39,38,98,40,98,40,41,98,39,38,39,38,41,98,39,38,39,38,98,40,1,1,97,2,1,1,1,1,41,98,39,38,39,38,39,38,98,40,1,1,1,1,1,1,1,1,41,98,39,38,39,38,39,38,39,38,39,40,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,48,36,48,36,48,36,48,36,48,36,45,49,45,49,45,49,45,49,45,49,95,24,48,36,48,36,95,24,95,24,48,36,48,36,95,24,95,24,95,24,95,24,95,24,48,36,45,49,45,49,95,24,48,36,48,36,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,48,36,48,36,48,36,48,36,95,24,95,24,95,75,76,77,85,88,88,88,
1,1,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,60,72,60,72,60,72,60,72,43,44,43,44,43,44,43,44,43,44,60,72,60,72,60,72,60,72,43,44,43,44,43,44,43,44,43,44,43,44,43,44,43,44,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,43,44,43,44,43,44,43,44,43,44,43,44,43,44,55,50,55,50,55,50,55,50,95,24,43,44,43,44,95,24,95,24,43,44,43,44,95,24,95,24,95,24,95,24,95,24,43,44,43,44,55,50,95,24,43,44,43,44,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,95,24,43,44,43,44,43,44,43,44,95,24,95,24,95,78,79,80,85,88,88,88,
1,1,45,49,45,49,45,49,45,49,52,49,52,49,52,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,45,45,45,45,45,45,45,45,49,84,101,101,101,101,101,101,96,45,49,45,49,45,49,45,49,45,49,84,101,101,101,101,101,101,96,45,49,45,49,45,49,45,49,45,49,45,49,45,49,45,49,52,53,52,53,52,53,52,53,52,53,52,53,52,53,52,53,52,53,52,53,52,53,52,53,52,53,45,49,45,49,45,49,45,49,45,49,45,49,45,49,52,53,52,53,52,53,52,53,48,36,45,49,45,49,95,24,48,36,45,49,45,49,95,24,48,36,48,36,95,24,95,24,45,49,45,49,52,53,95,24,45,49,45,49,48,36,48,36,48,36,48,36,95,24,95,24,95,24,95,24,95,24,48,36,48,36,45,49,45,49,45,49,45,49,48,36,95,24,95,81,10,22,85,88,88,88,
51,51,55,50,55,50,55,50,55,50,43,44,43,44,43,44,55,50,55,50,55,50,55,50,55,50,43,44,43,44,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,51,51,51,51,51,51,51,51,55,50,55,50,55,50,55,50,55,50,51,51,51,51,51,51,51,51,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,43,44,43,44,43,44,43,44,43,44,43,44,43,44,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,55,50,43,44,43,44,43,44,55,50,95,24,43,44,43,44,55,50,95,24,43,44,43,44,95,24,95,24,55,50,55,50,55,50,95,24,55,50,43,44,43,44,43,44,43,44,43,44,95,24,95,24,95,24,95,24,95,24,43,44,43,44,55,50,55,50,55,50,55,50,43,44,95,24,95,34,46,58,86,104,104,104,
